,coord_x,coord_y,valeur,qualif,val_no2,val_pm10,val_o3,val_so2,val_pm25
235,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
236,652080,6862620,7,Médiocre,2.0,4.0,7.0,1.0,0
238,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
239,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
240,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
241,652080,6862620,4,Bon,2.0,2.0,4.0,1.0,0
242,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
243,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
244,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
245,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
246,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
247,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
248,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
249,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
250,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
251,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
252,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
253,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
254,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
255,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
256,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
257,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
258,652080,6862620,6,Médiocre,2.0,4.0,6.0,1.0,0
259,652080,6862620,6,Médiocre,3.0,3.0,6.0,1.0,0
260,652080,6862620,5,Moyen,3.0,3.0,5.0,1.0,0
261,652080,6862620,4,Bon,2.0,2.0,4.0,1.0,0
262,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
263,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
264,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
265,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
266,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
267,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
268,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
269,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
270,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
271,652080,6862620,6,Médiocre,2.0,3.0,6.0,1.0,0
272,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
273,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
274,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
275,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
276,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
277,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
278,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
279,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
280,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
281,652080,6862620,4,Bon,1.0,4.0,4.0,1.0,0
282,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
283,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
284,652080,6862620,6,Médiocre,2.0,3.0,6.0,1.0,0
285,652080,6862620,5,Moyen,3.0,3.0,5.0,1.0,0
286,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
287,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
288,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
289,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
290,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
291,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
292,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
293,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
294,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
295,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
296,652080,6862620,5,Moyen,1.0,4.0,5.0,1.0,0
297,652080,6862620,4,Bon,1.0,4.0,4.0,1.0,0
298,652080,6862620,5,Moyen,3.0,5.0,5.0,1.0,0
