,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
3599,2001468,11,2009,20,"48.85217680997226, 2.3903602561713733"
3601,2001484,18,2009,1,"48.89297055996313, 2.3516824432342602"
3605,2001654,11,2010,21,"48.851226830157344, 2.3828707394628865"
3606,2001675,19,2010,17,"48.887406290156335, 2.381703866324608"
3607,2001701,12,2010,36,"48.835892419771035, 2.3835030900715664"
3608,2001707,14,2010,74,"48.83440806991594, 2.3130834031611545"
3612,2001759,2,2010,4,"48.86920979024417, 2.349024341142615"
3613,2001763,20,2010,33,"48.871401219832435, 2.380314928609185"
3614,2001776,13,2010,1,"48.82040351982754, 2.349748445452703"
3616,2001876,19,2011,151,"48.87741626022525, 2.4008917341005342"
3617,2001879,13,2011,2,"48.819233860210176, 2.362746806004123"
3618,2001885,13,2011,36,"48.83731113028334, 2.358479462564532"
3619,2001888,14,2011,10,"48.82918372964307, 2.320562444037096"
3620,2001890,9,2011,20,"48.87928783016493, 2.331502019593335"
3623,2001973,11,2011,79,"48.854223529787866, 2.377640531411051"
3624,2002014,17,2011,19,"48.893075689808754, 2.315614952125101"
3626,2002046,12,2012,92,"48.83485824996706, 2.4008761805611822"
3627,2002064,12,2012,1,"48.83494631036134, 2.4060800833960774"
3628,2002070,18,2012,8,"48.89102669041514, 2.3388730983361268"
3629,2002091,13,2012,163,"48.82022094013797, 2.373369462338097"
3631,2002139,15,2012,150,"48.829568329651934, 2.2959899871817466"
3633,2002178,20,2012,68,"48.86082741036501, 2.4096316953921697"
3634,2002214,19,2012,35,"48.87945113036518, 2.3879567703173317"
3635,2002183,16,2012,1,"48.87479183999948, 2.2875604162249905"
3636,2002184,13,2012,16,"48.83047483958145, 2.370333168193986"
3637,2002205,13,2012,1,"48.823825259801204, 2.3518759311304667"
3638,2002241,10,2012,5,"48.87455613040806, 2.3507943903021187"
3641,2002274,20,2013,2,"48.849544160149634, 2.405135220322525"
3642,2002276,7,2013,1,"48.84931791040631, 2.3088588586156615"
3643,2002284,5,2013,16,"48.84262783010114, 2.3545441026130405"
3644,2002288,13,2013,35,"48.820785539686995, 2.3724708894450197"
3646,2002304,19,2013,73,"48.883185090080154, 2.386388857575279"
3648,2002352,16,2013,1,"48.85059557971528, 2.2781543792158496"
3650,2002374,4,2013,55,"48.85291947962585, 2.3629655416855013"
3651,2002389,14,2013,53,"48.83605778013568, 2.330823919575238"
3653,2002426,10,2013,95,"48.877983560064266, 2.369106610576627"
3654,2002435,18,2013,9,"48.89023812026842, 2.350912074521085"
3655,2002480,12,2014,63,"48.8441130596864, 2.390565396462461"
3656,2002518,18,2014,20,"48.8899914900527, 2.353258304208053"
3657,2002544,5,2014,23,"48.83824937026348, 2.3494328595273712"
3658,2002568,18,2014,14,"48.885070949972864, 2.340282458162012"
3659,2002570,18,2014,40,"48.88952426962494, 2.3443137080924377"
3660,2002580,12,2014,67,"48.84175007032427, 2.398445572452365"
3661,2002591,5,2014,9,"48.838092329891126, 2.3493589053936668"
3662,2002620,18,2014,16,"48.88472053955604, 2.3522049880424496"
3664,2002646,20,2014,253,"48.867053279661114, 2.3908568576531897"
3667,2002681,5,2015,10,"48.84018301020004, 2.3591782694816366"
3668,2002701,17,2015,1,"48.89365191010784, 2.325578251384022"
3669,2002756,20,2015,5,"48.87255358004786, 2.391305669669465"
3671,2002951,13,2016,47,"48.833791809718676, 2.3639228603302818"
3672,2002989,12,2016,14,"48.84483169024103, 2.3691385334041226"
3673,2002996,14,2016,71,"48.81952305974428, 2.3419216906687104"
3674,2003007,19,2016,42,"48.88429818008282, 2.384403136519139"
3675,2003031,18,2016,5,"48.885997850173965, 2.3513069882230804"
3678,2003100,17,2017,18,"48.89128765984208, 2.322480287177207"
3679,2003112,12,2017,48,"48.84643242044456, 2.4059434881259874"
3680,2003129,18,2017,18,"48.89325411959168, 2.3280067975928396"
3681,2003141,9,2017,28,"48.88120926005061, 2.34638369421535"
3682,2003148,11,2017,9,"48.853148429574524, 2.3819347155431303"
3683,2003160,10,2017,11,"48.88333170018176, 2.361696671512783"
3684,2003173,20,2017,34,"48.87213182011114, 2.3907494085382948"
3685,2003256,15,2017,23,"48.837065940444695, 2.277921772337041"
3686,2003277,9,2018,4,"48.8748775397287, 2.345335748453845"
3687,2003285,12,2018,1,"48.839239589968, 2.3946390962850215"
3688,2003352,18,2018,1,"48.888836930443475, 2.3559176992543653"
3689,2003382,15,2018,256,"48.828737310088194, 2.2989444595439967"
3690,2003390,13,2018,8,"48.82830977963247, 2.3735960013223374"
3692,2003485,18,2019,12,"48.88684895985266, 2.3278420651949467"
3694,2003532,10,2019,29,"48.87006030990616, 2.360774836476744"
3695,2003543,15,2019,1,"48.84115648980913, 2.297400338415371"
3697,2003626,16,2020,1,"48.84014473035246, 2.255763189385859"
3698,2003632,17,2020,1,"48.89319144972967, 2.3170986704387224"
3700,2003681,20,2020,20,"48.86767730004274, 2.4004376386059523"
3701,2003720,10,2020,30,"48.88156485997782, 2.3660129713980314"
3702,2003721,4,2020,82,"48.85019720014019, 2.362157996598403"
3703,2003742,11,2020,27,"48.86198508009644, 2.383574719345318"
3707,2003805,18,2021,11,"48.88541240968804, 2.3607491116719515"
3708,2003814,12,2021,17,"48.847819349661165, 2.3922962563933665"
3709,2003819,17,2021,1,"48.88378135033224, 2.2872915113518557"
3710,2003834,17,2021,7,"48.88428003966963, 2.32477438521154"
3712,2003845,20,2021,87,"48.86118397035354, 2.410999735225072"
3714,CPE2,2,2021,13,"48.86664274959822, 2.344620366246813"
3715,CPE26,20,2021,16,"48.85535520030671, 2.404134994480116"
3717,2003969,4,2022,1,"48.859195489697306, 2.3532068422727255"
3721,CPE62,15,2022,18,"48.84423875037677, 2.318652497392398"
3722,CPE83,20,2022,60,"48.86680392982436, 2.387125852459646"
3726,CPE84,17,2023,29,"48.89122399037713, 2.305802854570743"
3727,2004200,20,2024,11,"48.86554180959779, 2.3948158075118298"
3728,2004203,15,2024,78,"48.84976988005105, 2.291701477145299"
3729,2004206,7,2024,18,"48.85868127996001, 2.307853326093227"
3730,2004227,10,2024,22,"48.88014347026676, 2.36418096756145"
3731,2004251,11,2024,13,"48.86813178001924, 2.3729115445371542"
3732,2004253,10,2024,2,"48.87012099015157, 2.3696937523481734"
3733,2004257,14,2024,20,"48.82843127966823, 2.3217609315869376"
3735,2000042,20,2001,16,"48.8552639597924, 2.4040615123840676"
3738,2000101,13,2002,84,"48.82594253993229, 2.3599184961405966"
3739,2000154,11,2002,52,"48.86203709972214, 2.3704372302561167"
3740,2000218,13,2003,15,"48.82475918984109, 2.3481670106129187"
3741,2000231,20,2003,13,"48.85715667999418, 2.3986548385233264"
3742,2000250,16,2003,22,"48.83815158984207, 2.2628535611635234"
3743,2000251,20,2003,5,"48.872082660390014, 2.3811155775264337"
3744,2000267,17,2003,16,"48.88455255027548, 2.30917609519214"
3746,2000342,20,2004,4,"48.855244909622385, 2.401561521484314"
3747,2000348,19,2004,24,"48.88486775032991, 2.381482274603997"
3748,2000356,14,2004,21,"48.8351282197792, 2.323639074546927"
3749,2000412,15,2004,7,"48.85008909972469, 2.293970536556751"
3750,2000436,10,2004,1,"48.87725293999792, 2.349579421285365"
3751,2000448,11,2004,45,"48.86963673991759, 2.3746398022220103"
3753,2000469,15,2005,112,"48.84368018967156, 2.277192720546428"
3754,2000478,11,2005,18,"48.86059125022426, 2.381764597359266"
3755,2000496,18,2005,4,"48.8929027298032, 2.3511322333106617"
3756,2000507,18,2005,6,"48.890164200155965, 2.362627681339156"
3759,2000553,18,2005,6,"48.89059959001314, 2.351043829122018"
3760,2000556,3,2005,14,"48.861872309615784, 2.3611900742769643"
3761,2000576,3,2005,10,"48.86458456972368, 2.3564346151384155"
3762,2000644,19,2006,173,"48.877650540296194, 2.3935229135453433"
3763,2000645,19,2006,187,"48.87593232031757, 2.394483942381464"
3765,2000687,18,2006,20,"48.88714788032468, 2.354567851558615"
3766,2000690,18,2006,7,"48.88708843032611, 2.3529449054352796"
3767,2000698,20,2006,2,"48.84997936004907, 2.407621277519122"
3768,2000776,18,2007,26,"48.89553244003375, 2.339676015542353"
3769,2000788,20,2007,6,"48.85470692999087, 2.403154284226477"
3770,2000808,9,2007,10,"48.87982657967072, 2.3349804805150853"
3771,2000835,11,2007,32,"48.861281289637084, 2.3721305629993172"
3772,2000849,9,2007,13,"48.8735962899275, 2.343939721096961"
3774,2000926,20,2007,30,"48.85529735982271, 2.4039232154394576"
3775,2000931,11,2007,54,"48.850717070151646, 2.395349345449723"
3776,2000948,18,2007,8,"48.895589869848855, 2.3471047685999955"
3778,2000992,15,2007,5,"48.83002944997011, 2.3035208015098325"
3779,2001011,19,2007,12,"48.88084238043837, 2.372278410024199"
3780,2001027,20,2008,126,"48.85534159025546, 2.3993277163870403"
3781,2001031,10,2008,25,"48.874723439662695, 2.353938826493351"
3783,2001050,9,2008,84,"48.87781455958932, 2.333328698624618"
3784,2001112,15,2008,28,"48.84118962956716, 2.3061916121922588"
3785,2001096,17,2008,11,"48.883732179848074, 2.2898935513504246"
3786,2001098,11,2008,24,"48.85675416961031, 2.3802435883135105"
3788,2001144,13,2008,42,"48.82080282036602, 2.3529014365278473"
3789,2001156,1,2008,7,"48.86093566963618, 2.3483661252152266"
3790,2001180,3,2008,5,"48.86289748958485, 2.3515031929909025"
3791,2001219,19,2008,1,"48.881222689603185, 2.39757614354102"
3792,2001225,18,2008,18,"48.88376289966768, 2.348067841429233"
3793,2001241,20,2008,4,"48.875075549885345, 2.3953890012935264"
3794,2001245,15,2008,11,"48.845204680133115, 2.31188086809042"
3796,2001287,20,2009,1,"48.854852380107125, 2.4034091800480413"
3798,2001312,17,2009,16,"48.883857269993236, 2.303865536444054"
3799,2001338,17,2009,4,"48.88751421041163, 2.29553473153757"
3800,2001349,19,2009,52,"48.8802602400472, 2.395861928184899"
3801,2001384,15,2009,4,"48.84091162961117, 2.296674631672555"
3802,2001388,18,2009,1,"48.889044969905626, 2.3428905686825687"
3804,2001406,17,2009,11,"48.89022851032037, 2.3213935773889927"
3805,2001417,13,2009,230,"48.825046629918695, 2.351623877606121"
3807,2001444,14,2009,12,"48.8315880298509, 2.3182035243917847"
3808,2001451,13,2009,16,"48.83521888028661, 2.344926810336182"
3810,2001466,11,2009,19,"48.851634810076256, 2.3845122196582755"
3811,2001474,15,2009,10,"48.833368870255725, 2.3091034001534547"
3813,2001492,11,2009,17,"48.851272179759384, 2.392157950244469"
3815,2001500,19,2009,2,"48.887951890029385, 2.380937918001425"
3819,2001564,20,2010,49,"48.87027722033939, 2.3796419953458314"
3820,2001572,4,2010,7,"48.85873637009389, 2.3510531204719367"
3821,2001600,8,2010,18,"48.873268050127564, 2.309421826323602"
3822,2001601,16,2010,29,"48.85794455959025, 2.2781988975373912"
3823,2001613,1,2010,5,"48.86134128985992, 2.342759395139929"
3824,2001628,11,2010,17,"48.8552348298371, 2.388408818407712"
3826,2001643,12,2010,24,"48.84555724032707, 2.40722777329319"
3829,2001743,10,2010,14,"48.87665818968981, 2.3714251143342597"
3830,2001751,10,2010,14,"48.872952399828485, 2.3708325223818023"
3833,2001793,19,2010,15,"48.87559631012683, 2.3989851583315973"
3834,2001828,10,2010,14,"48.874322870134336, 2.373732222571833"
3836,2001869,14,2011,8,"48.82889587998257, 2.3076902769577043"
3838,2001905,15,2011,23,"48.84245664034568, 2.3160607985535617"
3839,2001929,13,2011,1,"48.822628809744984, 2.3757604084221677"
3840,2001938,16,2011,2,"48.849938810391436, 2.2760020461200963"
3841,2001960,4,2011,15,"48.85359290959574, 2.3636789654752266"
